"a aquele", "para isso"
"fraude", "algo destinado a enganar; truques deliberados destinados a obter uma vantagem"
"fraudulento", "caracterizado por maus-tratos físicos ou psicológicos"
"frear", "causa para parar aplicando os freios"
"frederico", "Uma cidade no norte de Maryland, a oeste de Baltimore"
"freguês", "uma pessoa que compra"
"freguesa", "alguém que paga por bens ou serviços"
"freguesia", "clientes coletivamente"
"freguesia", "uma comunidade da igreja local"
"freio", "o ato de restringir poder ou ação ou limitar o excesso"
"Freira", "uma mulher religiosa"
"freira", "uma mulher religiosa"
"fremir", "Mova-se ou balance de um lado para o outro regularmente"
"frenético", "marcado por intensa agitação ou emoção"
"frente", "em ou na frente"
"frequência", "o número de observações em uma determinada categoria estatística"
"frequentar", "ser um visitante regular ou frequente para um determinado lugar"
"frequente", "freqüentemente encontrado"
"frequentemente", "muitas vezes em intervalos curtos"
"frês", "máquina-ferramenta na qual o metal preso a um carro é alimentado contra cortadores rotativos que o moldam"
"fresco", "feito recentemente, produzido ou colhido"
"frescura", "originalidade em virtude de ser refrescantemente novo"
"fresta", "uma abertura estreita"
"fretamento", "um documento incorporando uma instituição e especificando seus direitos; Inclui os artigos de incorporação e o certificado de incorporação"
"fretar", "Envolva-se para o serviço sob um prazo de contrato"
"frete", "transportar mercadorias comercialmente a taxas mais baratas que as taxas expressas"
"freudiano", "de ou relacionado a Sigmund Freud ou suas idéias psicanalíticas"
"friamente", "de uma maneira não emojeira fria"
"fricção", "esforço gasto em mover um objeto sobre outro com pressão"
"friccionar", "toque ou esfregue constantemente"
"friezo", "falta de afeto ou entusiasmo"
"fríger", "psicologicamente legal e não entusiasmado; hostis ou que não responde ou mostrando a aversão"
"frígia", "um país antigo na Ásia Ocidental e Central Menor"
"frigideirar", "Uma panela usada para fritar alimentos"
"frigorífico", "causando frio; resfriamento ou arrepio"
"frigorífico", "uma geladeira na qual o líquido de arrefecimento é bombeado por um motor elétrico"
"frio", "falta de calor de sentimento"
"frisador", "alguém que corta ou embeleza o cabelo"
"frisar", "enrole-se firmemente"
"frisar", "Um ornamento arquitetônico que consiste em uma banda esculpida horizontal entre o Architrave e a Cornike"
"fritar", "cozinhe em uma superfície quente usando gordura"
"fritar", "Ovos espancados ou uma mistura de ovos cozidos até ficarem bem; pode ser dobrado em torno, por exemplo presunto ou queijo ou geléia"
"frite", "um jovem de qualquer sexo"
"fritura", "cozinhando em gordura ou óleo em uma panela ou chapa"
"frivolidade", "o traço de ser frívolo; não sério ou sensato"
"frívolo", "Não é sério em conteúdo ou atitude ou comportamento"
"frondoso", "tendo ou coberto de folhas"
"frondoso", "tendo ou coberto de folhas"
"fronhr", "uma cobertura que pretende proteger contra danos ou lesões"
"frontal", "pertencente à parte da frente"
"frontão", "uma empena triangular entre um entablamento horizontal e um telhado inclinado"
"fronte", "a linha ao longo da qual os exércitos opostos se enfrentam"
"fronteira", "a linha ou plano indicando o limite ou extensão de algo"
"fronteira", "o limite externo de um objeto ou área ou superfície; um lugar mais distante do centro de algo"
"frontispício", "o rosto ou a frente de um prédio"
"frota", "Um grupo de navios de guerra organizado como uma unidade tática"
"frouxo", "fora de condição; não forte ou robusto; incapaz de esforço ou resistência"
"frugalidade", "prudência em evitar desperdícios"
"fruir", "ter propriedade ou posse de"
"frustração", "um ato de dificultar os planos ou esforços de alguém"
"frustrar", "não conseguir realizar um resultado pretendido"
"frustrar", "tratar cruelmente"
"frutar", "Corpo reprodutivo comestível de uma planta de semente, especialmente um com carne doce"
"frutífero", "produtivo ou propício à produção em abundância"
"frutificação", "Órgãos de frutificação (especialmente as partes reprodutivas de samambaias e musgos)"
"fruto", "uma quantidade de um produto"
"fuga", "o ato de deixar (sem permissão) o lugar que você deve ser"
"fugacidader", "a tendência de um gás de expandir ou escapar"
"fugaz", "durando por um tempo marcadamente breve"
"fugir", "fugir; geralmente inclui levar algo ou alguém junto"
"fugitivo", "durando por um tempo marcadamente breve"
"fulano", "um homem médio hipotético"
"fulgir", "ser distinto ou eminente"
"fulgor", "a qualidade de ser magnífico ou esplêndido ou grandioso"
"fulgurante", "Surpreendentemente impressionante; sugestivo do piscar de raios"
"fulgurar", "ser distinto ou eminente"
"fuligem", "uma substância coloidal negra consistindo total ou principalmente de carbono amorfo e usado para fazer pigmentos e tinta"
"fulminante", "repentino e grave"
"fulminar", "Olhe com um olhar fixo"
"fumaçar", "um vapor quente contendo partículas finas de carbono sendo produzidas por combustão"
"fumante", "Uma pessoa que fuma tabaco"
"fumar", "ervas anuais cujas flores têm apenas uma pétala estimulada na base"
"fumar", "Inspire e expire fumaça de cigarros, charutos, canos"
"fumegante", "marcado por ou emitindo ou cheio de fumaça"
"fumegar", "queimar lentamente e sem chamas"
"fumo", "folhas da planta de tabaco seca e preparada para fumar ou ingestão"
"função", "a principal atividade em sua vida que você faz para ganhar dinheiro"
"funcional", "projetado para ou capaz de uma função específica ou uso"
"funcionalidade", "capaz de servir bem a um propósito"
"funcionamento", "o estado de estar em vigor ou ser operativo"
"funcionar", "executar tarefas anexadas a um determinado escritório ou lugar ou função"
"funcionário", "Uma jovem que está empregada"
"Fundação", "o ato de iniciar algo pela primeira vez; apresentando algo novo"
"fundamental", "formando ou tendo a natureza de um ponto de virada ou crise"
"fundamentalmente", "em essência; na parte inferior ou por uma (ou sua) muito natureza"
"fundamentar", "logicamente válido"
"fundamentar", "Use como base para; encontrado em"
"fundamento", "rocha sólida não escrita sob depósitos de superfície do solo"
"fundão", "Uma abertura profunda na superfície da Terra"
"fundar", "configurar ou colocar as bases para"
"fundar", "Uma arma simples que consiste em uma alça em loop na qual um projétil é girado e depois liberado"
"fundição", "o ato de jogar uma linha de pesca sobre a água por meio de uma haste e carretel"
"fundir", "Misture elementos diferentes"
"fundo", "riqueza na forma de dinheiro ou propriedade de propriedade de uma pessoa ou empresa e recursos humanos de valor econômico"
"fundo", "tendo ótima extensão espacial ou penetração para baixo ou para dentro de uma superfície externa ou para trás ou lateralmente ou para fora de um centro; às vezes usado em combinação"
"fundurar", "A extensão para baixo ou para trás ou para dentro"
"fúnebre", "expressando tristeza"
"funerár", "Um necrotério onde aqueles que sabiam o falecido podem vir prestar seus últimos respeitos"
"fungar", "MUCO UP MUCO ATR na nariz"
"fungicer", "qualquer agente que destrói ou impeça o crescimento de fungos"
"fungicida", "qualquer agente que destrói ou impeça o crescimento de fungos"
"fungo", "o reino taxonômico, incluindo leveduras, moldes, smuts, cogumelos e saques; distinto das plantas verdes"
"fungo", "um organismo dos fungos do reino sem clorofila e se alimentando de matéria orgânica; variando de organismos unicelulares ou multicelulares a sincicia portadores de esporos"
"funil", "um utensílio de formato ciente com um tubo estreito na extremidade pequena; usado para canalizar o fluxo de substâncias em um recipiente com uma boca pequena"
"funileiro", "alguém que faz artigos de cobre"
"fur", "Variedade albina domesticada do Polecat europeu criado para caçar ratos e coelhos"
"furacão", "Um ciclone tropical grave geralmente com fortes chuvas e ventos movendo 73-136 nós (12 na escala Beaufort)"
"furacão", "Uma poderosa corrente circular de água (geralmente o resultado de marés conflitantes)"
"furadeira", "Uma ferramenta com um ponto nítido e bordas de corte para fazer orifícios em materiais duros (geralmente girando rapidamente ou por golpes repetidos)"
"furador", "tendo um buraco cortado"
"furar", "fazer um buraco em"
"furar", "permitindo a passagem dentro e fora"
"fúria", "um sentimento de intensa raiva"
"furioso", "marcado por entusiasmo excessivo e devoção intensa a uma causa ou ideia"
"furioso", "marcado por entusiasmo excessivo e devoção intensa a uma causa ou ideia"
"furioso", "marcado por entusiasmo excessivo e devoção intensa a uma causa ou ideia"
"furioso", "Marcado por extrema raiva"
"furno", "Uma formação geológica que consiste em um gabinete subterrâneo com acesso da superfície do solo ou do mar"
"furor", "vivacidade e ânsia"
"furtar", "Para entender apressadamente ou ansiosamente"
"furtivo", "marcado por silêncio e cautela e sigilo; Tentando dores para evitar ser observado"
"furto", "o ato de tirar algo de alguém ilegalmente"
"furúnculo", "uma dolorosa ferida com um núcleo duro cheio de pus"
"fusão", "o ato de fundir (ou derreter) juntos"
"fuselagem", "O corpo central de um avião projetado para acomodar a tripulação e passageiros (ou carga)"
"fusível", "um dispositivo elétrico que pode interromper o fluxo de corrente elétrica quando estiver sobrecarregado"
"fuso", "um bastão ou alfinete usado para torcer o fio em girar"
"futebol", "Qualquer um dos vários jogos jogados com uma bola (redonda ou oval), na qual duas equipes tentam chutar, carregar ou impulsionar a bola para o gol um do outro"
"futebolista", "um atleta que joga futebol americano"
"futebolista", "um atleta que joga futebol"
"fútil", "Não é sério em conteúdo ou atitude ou comportamento"
"futilidade", "inutilidade como conseqüência de não ter resultado prático"
"futurismo", "Um movimento artístico na Itália por volta de 1910 que tentou expressar a energia e os valores da era da máquina"
"futuro", "(de oficiais eleitos) eleitos, mas ainda não servindo"
"futurologir", "o estudo ou previsão de desenvolvimentos futuros com base nas condições existentes"
"fuxicar", "Evitar a verdade de um ponto ou pergunta, levantando objeções irrelevantes"
"fuxico", "conversa inconseqüente"
"fuzil", "uma arma de fogo com um barril longo e um furo"
"fuzilar", "ataque com Fusillade"
"gabar", "elogie um pouco desonestamente"
"gabarito", "um modelo ou padrão para fazer comparações"
"gabinetir", "um quarto que é confortável e isolado"
"Gabriel", "(Bíblia) O Arcanjo que era o Mensageiro de Deus"
